phi,psi
1.9495906911130774,-1.225207216655243
2.0744014510911333,-1.0661222521734324
2.0109763474160367,-1.184080127408365
2.0381654958006914,-1.1369824509917976
2.1663030385132123,-1.2424248782000387
2.1384951342638034,-1.305798579671076
2.058967670272102,-1.1621658553856404
1.786691403387231,-1.2891125235522753
1.9554340390500138,-1.28802963760546
1.7088167426468148,-1.4503011334649705
1.8857260446924091,-1.2160681904791377
1.6308243005763305,-1.359832415364791
1.5855222089664323,-1.2546506012662988
1.6672924727177818,-1.4291054605781355
1.488182965466653,-1.376077986301758
1.628595080980329,-1.2873935288189928
1.4370077452657775,-1.3819899553422872
1.6185368177775923,-1.2921351748914687
1.5478511622209812,-1.4668225873170975
1.6746824566133787,-1.180215248048677
1.8672552449198419,-1.5614557928500423
1.7836491105818042,-1.3918533629845466
2.2585713850806335,-1.6233052569091297
1.9001267299746256,-1.4299978302043086
2.263737993372381,-1.5860431323889228
1.956573612018435,-1.3594086918279962
2.0416716829566517,-1.5816364921982358
1.7508459308200954,-1.4434090340349368
1.60047691737932,-1.5055358634722205
1.6313238937294667,-1.5455291664112163
1.5781464339695617,-1.5683854943267994
1.8750856895916188,-1.804031639538488
1.6111411258193187,-1.7269142423987152
1.7681431021831522,-1.8080960289319181
1.6978050816046495,-1.8588474903525778
1.7486842676388044,-1.9732889018712259
1.679703090962286,-1.8713725547619304
1.6291494228421288,-1.83136183341384
1.9542910731566772,-1.9794761873875184
1.8480776183420289,-1.995524160536171
2.2685172772682085,-2.2722760317195907
1.9521675870265747,-2.12806490362297
2.1313106935370136,-2.415362206695338
1.7763431569432035,-2.2906820953175635
1.821962471531194,-2.250760223096065
1.5773336787217949,-2.279654360424722
1.524843110595505,-2.1656790023134778
1.3929535746704906,-2.1465225951081157
1.2679584802058832,-2.1025906589916508
1.3435386885010565,-1.9444739140041412
1.2611448904182456,-2.056439123650362
1.4871563499682818,-1.9372397582544245
1.6095604901763616,-1.9818717306170395
1.7113411830635386,-1.804825983004427
1.8335976552331448,-1.8718689559493316
1.8830842218442574,-1.815635539430845
1.9492673107683343,-1.699762747389817
1.824510663382554,-1.8020329287342776
2.0697776236582914,-1.6958059739028124
1.7958231042520232,-1.6415567259419395
1.9758988037348193,-1.877732525622307
1.929258939909015,-1.740095916236445
1.8719867752667545,-1.9906075811816781
1.8021765815414295,-1.8905678798153283
1.7945585755263935,-2.142588654994871
1.6442535388886452,-2.1830808218712416
1.6471023028960161,-2.1765320583039194
1.7110613451068633,-2.152730689839801
1.71096313325726,-2.3869771577141643
1.733926823500469,-2.3141594034624893
1.678361168224144,-2.51596551112195
1.7257869480879746,-2.4998910785895117
2.144683372884359,-2.7796703671225056
2.0425459641672106,-2.6949159042289206
2.216252892594775,-2.9290675425680432
1.970970065848486,-2.7728748769089835
2.0501650129683133,-3.0221417961676376
1.788232549253677,-2.961078547201389
1.8166940822757505,-2.974465215096691
1.6209986158894254,-3.020814709460477
1.839505371113859,-2.963953009032277
1.8911658207165662,-2.999345048617878
